year;ies_sigle;fact_student_aggregated_matriculation_total
2016;IPEP;1
2016;FATEF;48
2016;IFPA;9
2016;MÓDULO;9
2016;FAEP/FACITEP;87
2016;IDP;22
2016;FEDUC;76
2016;28 de Agosto;19
2019;---;42
2017;CRUZEIRO DO SUL;25697
2017;UNIP;81074
2017;UNIESP;5554
2017;ESTÁCIO;8963
2017;FMU;49808
2017;ANHANGUERA;25644
2017;UNICID;22825
2017;USJT;21928
2017;UAM;40921
2017;UNG;281
2017;FDDJ;896
2017;UNIFIAM FAAM;9121
2017;UNINOVE;128980
2017;DRUMMOND;7097
2017;CSEJCDA;320
2017;FIC;25
2017;FIP;4
2017;UNISAL;507
2017;CANTAREIRA;550
2017;UNASP;2397
2017;OSWALDO CRUZ;2558
2017;FLAMINGO;2893
2017;FAPPES;375
2017;UNISA;7715
2017;ISITEC;45
2017;FAB;51
2017;IFPA;21
2017;FASM;1935
2017;FAATESP;25
2017;FPD;1019
2017;UNISANT'ANNA;3977
2017;FAAP;3625
2017;FATEF;37
2017;SANTA MARINA;252
2017;FACDOTT;477
2017;PUCSP;12035
2017;UNICASTELO;4303
2017;BANDTEC;249
2017;ITESP;125
2017;FCE;361
2017;ESNS;175
2017;SENAI;1068
2017;INSPER;2164
2017;IED SP;321
2017;FACIS;76
2017;FMSL;89
2017;SAINT PAUL;53
2017;ESPM;4761
2017;FESP;728
2017;FINACI;102
2017;IBTA;498
2017;CENTRO UNIVERSITÁRIO FAM;10305
2017;MORUMBI SUL;247
2017;TREVISAN;418
2017;SEQÜENCIAL;454
2017;DIEESE;84
2017;SUMARÉ;16204
2017;MÓDULO;43
2017;SÃO CAMILO;4386
2017;ALBERT EINSTEN;424
2017;FIAP;2546
2017;FACEAS;1516
2017;FGV;2816
2017;FIA;123
2017;FIPECAFI;166
2017;UNIFAI;1013
2017;FEBASP;4415
2017;FAPSS;120
2017;FAMOSP;271
2017;FPA;585
2017;FABCI;152
2017;FESPSP;300
2017;FTBSP;198
2017;MUNDIAL;159
2017;FAMESP;994
2017;SENAC;6435
2017;CULTURA INGLESA;100
2017;MELIES;371
2017;FADISP;427
2017;FAEP/FACITEP;288
2017;IDP;63
2017;ESEG;364
2017;FEDUC;160
2017;FCMSCSP;1186
2017;ESAMC;110
2017;ESCOLA DA CIDADE;309
2017;FRB;1523
2017;ALVORADA PLUS;119
2017;FEI;348
2017;SÃO BENTO;162
2017;SINGULARIDADES;506
2017;LEGALE;117
2017;HOTEC;1105
2017;UNIB;2566
2017;ÍTALO;6147
2017;MACKENZIE;29179
2017;MESSIÂNICA;96
2017;ESCH;231
2017;EDUCAMAIS;401
2017;CAMPOS SALLES;3980
2017;UMC;5631
2017;VERA CRUZ;47
2017;FACULDADE UNIÃO;25
2021;---;929
2017;FAPCOM;1263
2017;FAZP;355
2017;FIT;1642
2017;FAETEL;377
2017;FACSP;78
2017;FACEPD;115
2017;UNIPAULISTANA;1062
2017;28 de Agosto;15
2017;FECS;106
2017;FATEC OSWALDO CRUZ;179
2017;FAESP;25
2017;CÁSPER LÍBERO;2173
2017;FECAP;2871
2017;FATIPI;62
2017;USF;0
2017;MAUÁ;0
2017;DOURADO;50
2017;SESI;98
2017;PSCHOAL DANTAS;58
2017;FATAC;69
2017;FTMP;1
2017;FAOA;15
2018;UNIP;85155
2018;UNIESP;2945
2018;ESTÁCIO;7495
2018;ANHANGUERA;23419
2018;UAM;47525
2018;UNG;29
2018;FMU;48395
2018;USJT;25619
2018;UNICID;24411
2018;CRUZEIRO DO SUL;27907
2018;FDDJ;848
2018;UNIFIAM FAAM;8017
2018;UNINOVE;125556
2018;DRUMMOND;5707
2018;CSEJCDA;339
2018;FIP;1
2018;FIC;0
2018;UNISAL;442
2018;FPD;795
2018;FATEF;30
2018;FAPPES;588
2018;ISITEC;47
2018;UNISA;8984
2018;IFPA;13
2018;BANDTEC;274
2018;ITESP;112
2018;FCE;602
2018;ESNS;135
2018;SÃO CAMILO;4553
2018;SENAI;983
2018;INSPER;2337
2018;IED SP;243
2018;ALBERT EINSTEN;566
2018;CANTAREIRA;490
2018;FACIS;73
2018;FACEAS;1685
2018;FASM;1882
2018;FMSL;82
2018;SAINT PAUL;54
2018;UNISANT'ANNA;2285
2018;UNIB;2567
2018;FINACI;153
2018;FAAP;3203
2018;CENTRO UNIVERSITÁRIO FAM;11851
2018;MORUMBI SUL;256
2018;TREVISAN;330
2018;SEQÜENCIAL;669
2018;MESSIÂNICA;90
2018;UNASP;2446
2018;ESCH;249
2018;DIEESE;79
2018;EDUCAMAIS;455
2018;MÓDULO;211
2018;UMC;4646
2018;FIT;2249
2018;PUCSP;11438
2018;DOURADO;64
2018;ESPM;4472
2018;FESP;573
2018;FAETEL;266
2018;FGV;2922
2018;UNICASTELO;3151
2018;FIA;124
2018;FIPECAFI;193
2018;FLAMINGO;3721
2018;UNIFAI;881
2018;FEBASP;4057
2018;FAPSS;144
2018;FAMOSP;343
2018;CULTURA INGLESA;116
2018;FPA;593
2018;MELIES;380
2018;FABCI;86
2018;FESPSP;224
2018;FECS;132
2018;FADISP;356
2018;FAEP/FACITEP;586
2018;IDP;81
2018;SESI;135
2018;PSCHOAL DANTAS;123
2018;FEDUC;128
2018;ESCOLA DA CIDADE;297
2018;MUNDIAL;278
2018;FRB;1181
2018;FAMESP;1104
2018;IBTA;790
2018;ALVORADA PLUS;114
2018;FEI;290
2018;SENAC;6065
2018;SÃO BENTO;155
2018;SINGULARIDADES;584
2018;LEGALE;162
2018;HOTEC;811
2018;ESEG;363
2018;ANCLIVEPA;126
2018;ÍTALO;5174
2018;FCMSCSP;1231
2018;ESAMC;202
2018;MACKENZIE;27984
2018;FACDOTT;499
2018;OSWALDO CRUZ;2528
2018;CAMPOS SALLES;4082
2018;VERA CRUZ;32
2018;FACULDADE UNIÃO;12
2018;FAPCOM;1228
2018;FAZP;475
2018;FIAP;2589
2018;FACEPD;116
2018;SUMARÉ;13176
2018;FATIPI;50
2018;UNIPAULISTANA;1232
2018;28 de Agosto;12
2018;FATEC OSWALDO CRUZ;202
2018;FAESP;84
2018;FTBSP;182
2018;FTMP;7
2018;FATAC;88
2018;CÁSPER LÍBERO;2122
2018;FAOA;25
2018;FECAP;2780
2018;FAB;170
2018;FTC;51
2018;IMESP;60
2018;EBRAMEC;7
2018;FPCS;34
2018;IGESP;80
2018;SEBRAE;13
2018;PHORTE;15
2018;FRS;25
2019;ESTÁCIO;6754
2019;UNIP;87185
2019;USJT;28104
2019;CRUZEIRO DO SUL;29359
2019;FMU;44896
2019;FDDJ;1038
2019;UNIFIAM FAAM;7241
2019;ANHANGUERA;20282
2019;UNICID;24053
2019;UAM;46214
2019;UNG;3
2019;UNINOVE;126344
2019;DRUMMOND;4986
2019;UNIESP;1410
2019;CSEJCDA;332
2019;FTC;0
2019;UNISAL;237
2019;BANDTEC;382
2019;ITESP;107
2019;UMC;3458
2019;FCE;708
2019;FIT;2380
2019;PUCSP;10948
2019;ESNS;149
2019;INSPER;2506
2019;IED SP;285
2019;CANTAREIRA;382
2019;FACIS;44
2019;FMSL;82
2019;SAINT PAUL;62
2019;FINACI;175
2019;IMESP;41
2019;IBTA;692
2019;CENTRO UNIVERSITÁRIO FAM;10987
2019;MORUMBI SUL;252
2019;TREVISAN;160
2019;SEQÜENCIAL;744
2019;ESPM;4400
2019;FESP;468
2019;UNASP;2673
2019;DIEESE;61
2019;SENAI;823
2019;SÃO CAMILO;4430
2019;DOURADO;70
2019;ALBERT EINSTEN;692
2019;FACEAS;1672
2019;FAOA;37
2019;FPCS;72
2019;ANCLIVEPA;236
2019;ÍTALO;5174
2019;FGV;3152
2019;IGESP;129
2019;SEBRAE;30
2019;MACKENZIE;26217
2019;UNIPAULISTANA;1145
2019;FACDOTT;469
2019;FAPSS;118
2019;FAMOSP;572
2019;FPA;464
2019;OSWALDO CRUZ;2524
2019;FABCI;61
2019;FESPSP;218
2019;UNISA;10390
2019;CAMPOS SALLES;3956
2019;VERA CRUZ;53
2019;FTMP;10
2019;FAESP;193
2019;FAPCOM;1183
2019;FAZP;633
2019;MUNDIAL;359
2019;FAMESP;1068
2019;SENAC;5901
2019;ESEG;391
2019;FCMSCSP;1246
2019;ESAMC;232
2019;FASM;2191
2019;FPD;696
2019;UNISANT'ANNA;2161
2019;UNIB;2005
2019;FAAP;3048
2019;FAETEL;269
2019;MESSIÂNICA;62
2019;UNICASTELO;3410
2019;ESCH;250
2019;EDUCAMAIS;573
2019;FIA;119
2019;FIPECAFI;199
2019;FLAMINGO;3394
2019;UNIFAI;875
2019;FEBASP;3677
2019;CULTURA INGLESA;125
2019;MELIES;380
2019;FECS;173
2019;FADISP;303
2019;FAB;339
2019;FAEP/FACITEP;1130
2019;SESI;198
2019;PSCHOAL DANTAS;64
2019;FEDUC;126
2019;ESCOLA DA CIDADE;303
2019;FEI;236
2019;SÃO BENTO;133
2019;FATAC;94
2019;SINGULARIDADES;531
2019;LEGALE;162
2019;HOTEC;656
2019;SUMARÉ;10662
2019;FIAP;2557
2019;FACEPD;152
2019;CÁSPER LÍBERO;2053
2019;FECAP;2645
2019;FRS;41
2019;PHORTE;17
2019;FTBSP;155
2019;FACULDADE UNIÃO;8
2019;FATEF;1
2019;FATIPI;45
2019;28 de Agosto;12
2019;FATEC OSWALDO CRUZ;223
2019;IDP;38
2019;EBRAMEC;57
2019;FRB;701
2019;ALVORADA PLUS;62
2019;FIP;35
2019;FVG;11
2019;FAATESP;8
2019;IBECO;16
2020;MACKENZIE;24583
2020;FGV;3410
2020;UNIFAI;707
2020;FEBASP;3340
2020;CÁSPER LÍBERO;1955
2020;USJT;28414
2020;FECAP;2765
2020;CRUZEIRO DO SUL;29721
2020;OSWALDO CRUZ;2382
2020;UNIESP;721
2020;CAMPOS SALLES;3857
2020;UNINOVE;127269
2020;UNICASTELO;2616
2020;UNIP;81278
2020;UNIPAULISTANA;881
2020;FAPSS;84
2020;FAMOSP;731
2020;FPA;284
2020;FABCI;71
2020;FESPSP;243
2020;FMU;43849
2020;UNISA;9899
2020;ANHANGUERA;15849
2020;FCMSCSP;1296
2020;UNICID;22496
2020;FASM;2354
2020;UNISANT'ANNA;1704
2020;UNIB;1650
2020;FAAP;2734
2020;UAM;47457
2020;UNG;0
2020;UMC;2248
2020;PUCSP;10589
2020;ESPM;4556
2020;SÃO CAMILO;4501
2020;ALBERT EINSTEN;841
2020;ESTÁCIO;7560
2020;FIAP;2730
2020;FACEAS;929
2020;FACEPD;250
2020;UNISAL;171
2020;FCE;189
2020;DRUMMOND;4174
2020;SENAI;671
2020;INSPER;2742
2020;IBTA;237
2020;CENTRO UNIVERSITÁRIO FAM;13747
2020;MORUMBI SUL;183
2020;TREVISAN;146
2020;UNASP;2656
2020;SUMARÉ;4969
2020;FIA;127
2020;FLAMINGO;2117
2020;FATEC OSWALDO CRUZ;173
2020;FAESP;195
2020;FADISP;222
2020;FAB;235
2020;ESCOLA DA CIDADE;288
2020;FRB;33
2020;FEI;192
2020;SÃO BENTO;99
